Dataset,Attack,Model,Metric,Value
breast_cancer,lowprofool_l_2,svc,eval_Sparsity,0.0625
breast_cancer,lowprofool_l_2,svc,eval_MAD,1.4595977
breast_cancer,lowprofool_l_2,svc,eval_Mahalanobis,0.37888184
breast_cancer,lowprofool_l_2,svc,eval_Perturbation_Sensitivity,5.4292364
breast_cancer,lowprofool_l_2,svc,eval_Neighbour_Distance,0.6506618
breast_cancer,lowprofool_l_2,nn_2,eval_L1,7.319675
breast_cancer,lowprofool_l_2,nn_2,eval_L2,1.7114815
breast_cancer,lowprofool_l_2,nn_2,eval_Linf,0.7110063
breast_cancer,lowprofool_l_2,nn_2,eval_Sparsity,0.046875
breast_cancer,lowprofool_l_2,nn_2,eval_MAD,2.5337582
breast_cancer,lowprofool_l_2,nn_2,eval_Mahalanobis,0.46908268
breast_cancer,lowprofool_l_2,nn_2,eval_Perturbation_Sensitivity,3.243344
breast_cancer,lowprofool_l_2,nn_2,eval_Neighbour_Distance,1.4113566
breast_cancer,lowprofool_l_inf,lr,eval_L1,6.212195
breast_cancer,lowprofool_l_inf,lr,eval_L2,1.3524555
breast_cancer,lowprofool_l_inf,lr,eval_Linf,0.4515173
breast_cancer,lowprofool_l_inf,lr,eval_Sparsity,0.03125
breast_cancer,lowprofool_l_inf,lr,eval_MAD,1.8670061
breast_cancer,lowprofool_l_inf,lr,eval_Mahalanobis,0.6920702
breast_cancer,lowprofool_l_inf,lr,eval_Perturbation_Sensitivity,4.49049
breast_cancer,lowprofool_l_inf,lr,eval_Neighbour_Distance,0.5137716
breast_cancer,lowprofool_l_inf,svc,eval_L1,4.34616
breast_cancer,lowprofool_l_inf,svc,eval_L2,0.9452022
breast_cancer,lowprofool_l_inf,svc,eval_Linf,0.34572694
breast_cancer,lowprofool_l_inf,svc,eval_Sparsity,0.0625
breast_cancer,lowprofool_l_inf,svc,eval_MAD,1.4576784
breast_cancer,lowprofool_l_inf,svc,eval_Mahalanobis,0.3773237
breast_cancer,lowprofool_l_inf,svc,eval_Perturbation_Sensitivity,5.427619
breast_cancer,lowprofool_l_inf,svc,eval_Neighbour_Distance,0.6495552
breast_cancer,lowprofool_l_inf,nn_2,eval_L1,7.325723
breast_cancer,lowprofool_l_inf,nn_2,eval_L2,1.6950281
breast_cancer,lowprofool_l_inf,nn_2,eval_Linf,0.7055261
breast_cancer,lowprofool_l_inf,nn_2,eval_Sparsity,0.0625
breast_cancer,lowprofool_l_inf,nn_2,eval_MAD,2.547368
breast_cancer,lowprofool_l_inf,nn_2,eval_Mahalanobis,0.45446345
breast_cancer,lowprofool_l_inf,nn_2,eval_Perturbation_Sensitivity,3.270805
breast_cancer,lowprofool_l_inf,nn_2,eval_Neighbour_Distance,1.4083422
